timestamp,id_i,x_i,y_i,vx_i,vy_i,hx_i,hy_i,length_i,width_i,velocity_i_kmh,conf_i,class_i,id_j,x_j,y_j,vx_j,vy_j,hx_j,hy_j,length_j,width_j,velocity_j_kmh,conf_j,class_j,TTC_ij,TTC_ji,severity_ij,severity_ji
3.159,8.0,17.43425,30.263817,4.6418695,2.3446019,0.23277582,0.11757475,1.9065043,1.0393261,14.62552,0.61878514,cyclist,14.0,15.6120825,35.77546,4.8743086,0.9359883,0.24443194,0.046937004,3.8875935,2.170674,17.804491,0.8008609,car,2.739485,4.8461947,22.25455,18.213507
5.767,23.0,23.518183,50.165398,2.4404163,-1.2382371,0.122379564,-0.06209388,4.6016374,2.4402206,9.943648,0.7974697,van,24.0,22.918718,47.597946,4.7598124,-2.536033,0.23869032,-0.12717444,3.7391834,2.7459965,19.31344,0.69621617,car,inf,-1.0,,30.00432
7.472,23.0,29.219368,53.675396,1.4255483,-0.24176964,0.07148697,-0.0121240225,4.941862,2.422259,5.2177534,0.8246296,van,26.0,14.870556,35.107166,2.917014,1.0840145,0.1462795,0.054360077,4.2817364,1.9401275,11.162576,0.86279786,car,12.655097,12.673094,1.874954,2.1496267
7.572,23.0,29.394588,53.742554,1.4325331,-0.24174738,0.07183724,-0.012122906,4.9535084,2.4199064,5.2396727,0.82761997,van,24.0,33.80541,53.085545,1.9457483,-1.5042943,0.097573444,-0.07543585,3.5326803,2.1842802,9.01109,0.7687162,car,inf,-1.0,,29.44287
7.572,23.0,29.394588,53.742554,1.4325331,-0.24174738,0.07183724,-0.012122906,4.9535084,2.4199064,5.2396727,0.82761997,van,26.0,14.955698,34.955112,3.166065,1.3469226,0.15876867,0.06754413,4.4222946,1.9119859,12.330746,0.8835059,car,10.629119,10.838457,5.9426713,5.8945193
7.572,24.0,33.80541,53.085545,1.9457483,-1.5042943,0.097573444,-0.07543585,3.5326803,2.1842802,9.01109,0.7687162,car,27.0,15.593194,36.265118,3.1290305,-0.28235584,0.15691149,-0.0141592985,3.8966374,2.2833288,11.270494,0.81457746,car,13.055855,12.626011,1.2663628,2.2499619
7.622,23.0,29.5154,53.78885,1.4407288,-0.25107,0.07224823,-0.012590407,4.959973,2.418681,5.272478,0.7847406,van,24.0,33.791042,52.913853,1.7942086,-1.5290549,0.08997418,-0.076677516,3.6406562,2.1736283,8.614212,0.7223245,car,inf,-1.0,,29.422516
7.622,23.0,29.5154,53.78885,1.4407288,-0.25107,0.07224823,-0.012590407,4.959973,2.418681,5.272478,0.7847406,van,26.0,15.000956,34.8927,3.2452428,1.4614797,0.16273919,0.07328882,4.4824038,1.8939002,12.750295,0.8731177,car,9.664654,10.201553,7.879647,7.195122
7.622,24.0,33.791042,52.913853,1.7942086,-1.5290549,0.08997418,-0.076677516,3.6406562,2.1736283,8.614212,0.7223245,car,27.0,15.632669,36.205044,3.2383885,-0.22789383,0.16239546,-0.011428192,3.9216197,2.2967107,11.644529,0.76084113,car,11.709697,11.063661,3.9474459,5.4053755
7.672,23.0,29.64248,53.85276,1.4424957,-0.2592798,0.07233683,-0.013002103,4.967093,2.417776,5.282359,0.7450815,van,26.0,15.048071,34.792934,3.3088222,1.5682589,0.1659275,0.07864348,4.524248,1.8721938,13.108488,0.8592548,car,8.929602,9.716722,9.354873,8.187242
7.672,24.0,33.77392,52.65824,1.6423851,-1.5458412,0.08236069,-0.0775193,3.7449727,2.1582627,8.20952,0.69406843,car,27.0,15.681985,36.13607,3.3281379,-0.1679979,0.16689612,-0.00842459,3.9449985,2.308422,11.94517,0.8042422,car,9.906723,9.818309,7.5441256,7.919973
7.722,23.0,29.738499,53.903908,1.4475708,-0.2728683,0.072591335,-0.013683527,4.9727106,2.4158783,5.3085113,0.74947846,van,26.0,15.102088,34.716946,3.362233,1.6654559,0.1686059,0.08351762,4.539686,1.8534262,13.423743,0.8948952,car,8.238827,9.287753,10.741881,9.06491
7.722,24.0,33.75895,52.393223,1.4969019,-1.5723191,0.07506514,-0.07884709,3.8533998,2.1427634,7.8695154,0.659594,car,27.0,15.751017,35.72767,3.37634,-0.10384583,0.16931331,-0.0052075568,3.9034595,2.2803445,12.074835,0.84144455,car,9.1474285,10.12014,9.049714,7.3215747
7.772,23.0,29.878042,53.977505,1.4549932,-0.27633792,0.07296354,-0.013857517,4.9812794,2.4161835,5.3367634,0.76179457,van,26.0,15.165118,34.655636,3.3974288,1.7550364,0.17037086,0.088009804,4.5685043,1.8475966,13.675549,0.8890768,car,7.8519483,7.795922,11.519291,12.070144
7.772,24.0,33.72944,52.13501,1.3523058,-1.5873505,0.067814074,-0.07960087,3.969751,2.1312478,7.5344396,0.6739432,car,27.0,15.84318,35.53861,3.4826772,-0.04895014,0.17464581,-0.0024547025,3.909502,2.273181,12.424338,0.8465699,car,8.61789,9.175381,10.094611,9.235529
