timestamp,id_i,x_i,y_i,vx_i,vy_i,hx_i,hy_i,length_i,width_i,velocity_i_kmh,conf_i,class_i,id_j,x_j,y_j,vx_j,vy_j,hx_j,hy_j,length_j,width_j,velocity_j_kmh,conf_j,class_j,TTC_ij,TTC_ji,severity_ij,severity_ji
3.209,7.0,25.35854,37.364227,2.3785753,-0.12100937,0.119278416,-0.0060682567,2.7244456,1.3005402,7.8745456,0.5372507,motorcyclist,17.0,16.275475,33.216343,7.174113,1.7407266,0.35976022,0.08729222,2.6655822,1.4361782,23.655558,0.55572766,cyclist,1.3792895,1.3722144,24.62057,25.513683
7.171,23.0,17.250914,41.168987,1.111762,-0.32893392,0.055751536,-0.016495049,4.20803,2.3753276,4.0808764,0.85593253,car,27.0,11.521988,37.650486,2.7084203,0.6447065,0.13581915,0.032330096,3.8757777,2.1101682,10.06428,0.7190705,car,1.8342539,1.3929802,23.520105,24.706186
7.221,23.0,17.316763,41.18507,1.0834997,-0.31687835,0.054334257,-0.015890498,4.202256,2.37168,3.9717708,0.83600235,car,27.0,11.531045,37.591328,2.7778635,0.7533931,0.13930151,0.037780404,3.8843095,2.0295143,10.407534,0.7480375,car,1.7388885,1.3360858,23.705849,24.838102
7.271,23.0,17.406605,41.196217,1.0570395,-0.30396426,0.05300736,-0.015242896,4.1998844,2.3700964,3.8686268,0.82377046,car,27.0,11.542561,37.527405,2.8128526,0.84307224,0.14105612,0.04227754,3.916519,2.0005226,10.619974,0.7480375,car,1.6294038,1.2983583,23.920174,24.924816
7.321,23.0,17.479902,41.20846,1.0374421,-0.2872769,0.052024607,-0.014406074,4.195984,2.3676398,3.7855344,0.78445554,car,27.0,11.553709,37.454937,2.8342087,0.9296596,0.14212707,0.04661964,3.9546838,1.9868984,10.78962,0.817015,car,1.5137043,1.2665027,24.147926,24.99754
7.371,23.0,17.548111,41.225864,1.0200399,-0.27648136,0.051151942,-0.01386471,4.189924,2.3637958,3.7158334,0.80046403,car,27.0,11.567808,37.37326,2.8515885,0.9974643,0.1429986,0.05001984,4.000798,1.9791145,10.930225,0.82442963,car,1.4766707,1.2603083,24.218735,25.01736
7.421,23.0,17.63337,41.265774,1.0149682,-0.26978222,0.050897606,-0.013528769,4.1866794,2.3615403,3.6919658,0.78699726,car,27.0,11.580292,37.28924,2.8606458,1.059121,0.1434528,0.053111743,4.0484734,1.9891983,11.039208,0.87304324,car,1.4449348,1.2725278,24.281157,24.998648
7.472,23.0,17.638622,41.20137,1.0086226,-0.25958997,0.0505794,-0.013017657,4.176544,2.3556657,3.660324,0.7758011,car,27.0,11.548408,36.67059,2.8127263,1.0978724,0.14104979,0.055055004,4.0216107,1.9725802,10.919615,0.87877244,car,2.1103895,1.5601637,22.94642,24.416319
7.472,25.0,25.246832,50.056614,1.9316858,-1.4484822,0.09686825,-0.07263704,3.470135,2.1284573,8.884306,0.777573,car,28.0,11.603892,36.581577,2.7065897,-0.49661306,0.13572735,-0.024903655,3.8206408,2.0662336,9.951644,0.7113035,car,13.477931,13.147933,0.4123451,1.1314666
7.522,23.0,17.705341,41.22156,1.0126834,-0.2562658,0.050783034,-0.01285096,4.1741705,2.3540294,3.6703293,0.8064909,car,27.0,11.499973,36.181347,2.7892487,1.1338239,0.13987245,0.056857865,4.0327497,1.9725418,10.870983,0.87457967,car,2.6409059,1.8181149,21.883919,23.897156
7.522,25.0,25.22285,49.731945,1.8062855,-1.4383914,0.0905798,-0.072131015,3.5693605,2.1530743,8.464748,0.7329172,car,28.0,11.642829,36.490734,2.745822,-0.440127,0.13769475,-0.022071049,3.7156014,2.2199502,10.049703,0.7113035,car,12.388028,11.610206,2.5781553,4.2229958
7.572,23.0,17.75849,41.27442,1.0222851,-0.2574217,0.05126453,-0.012908925,4.1714287,2.3520873,3.7038317,0.79415524,car,27.0,11.495958,35.84816,2.8507633,1.2503358,0.14295723,0.06270059,4.0772743,1.985788,11.225054,0.8603474,car,2.8014667,1.876173,21.563812,23.799616
7.572,25.0,25.205236,49.436504,1.6914812,-1.4417787,0.08482271,-0.07230087,3.6615698,2.1757398,8.118818,0.7299629,car,28.0,11.6811075,36.401775,2.7847426,-0.3807892,0.13964649,-0.019095436,3.683714,2.307585,10.150254,0.71062124,car,11.393951,10.312114,4.5552144,6.8329396
