id_i,id_j,timestamp_max_severity,class_i,class_j,severity_ij_mean,severity_ij_std,severity_ij_median,severity_ij_min,severity_ij_max,severity_ji_mean,severity_ji_std,severity_ji_median,severity_ji_min,severity_ji_max,TTC_ij_mean,TTC_ij_std,TTC_ij_median,TTC_ij_min,TTC_ij_max,TTC_ji_mean,TTC_ji_std,TTC_ji_median,TTC_ji_min,TTC_ji_max,velocity_i_kmh_max_severity,velocity_j_kmh_max_severity
7.0,17.0,3.209,motorcyclist,cyclist,24.62057,,24.62057,24.62057,24.62057,25.513683,,25.513683,25.513683,25.513683,1.3792895,,1.3792895,1.3792895,1.3792895,1.3722144,,1.3722144,1.3722144,1.3722144,7.8745456,23.655558
23.0,25.0,8.675,car,car,21.533283,4.132765,21.610668,13.203609,27.097773,20.97295,4.5408154,19.943428,12.97239,29.240614,2.8269544,2.0676744,2.782206,0.043398567,6.9751916,3.327467,2.0963686,3.6166136,0.13595587,7.070962,3.8842092,4.9819283
23.0,27.0,7.421,car,car,19.876616,2.3195996,19.33873,16.82994,24.281157,21.285992,2.4317534,21.218002,17.815132,25.01736,3.6506867,1.1562902,3.9154792,1.4449348,5.1670475,3.1786904,1.237174,3.2547772,1.2603083,4.89867,3.6919658,11.039208
23.0,28.0,9.578,car,car,29.261002,0.0029192585,29.259712,29.258945,29.264341,28.30332,1.2094669,27.835508,27.453592,30.08867,,,,,,0.19343507,0.1333463,0.20131221,0.05632481,0.3226682,5.4648128,20.88544
23.0,32.0,10.731,car,car,26.656988,,26.656988,26.656988,26.656988,27.719173,,27.719173,27.719173,27.719173,0.25115472,,0.25115472,0.25115472,0.25115472,0.41015586,,0.41015586,0.41015586,0.41015586,3.3729188,28.199087
25.0,27.0,8.625,car,car,18.447655,1.2413753,18.63036,16.289045,20.497747,19.111288,1.0024915,18.79505,18.047688,21.01671,4.388571,0.6240919,4.2903204,3.3613338,5.464821,4.2608633,0.47602287,4.4021387,3.3548505,4.7736716,4.844393,14.528514
25.0,28.0,9.327,car,car,10.654429,8.056573,11.2916975,0.4123451,29.30655,10.855476,6.9995546,10.988178,1.1314666,27.36597,9.371518,2.4985137,8.544705,6.977303,13.477931,8.339039,3.415078,8.247942,0.35107493,13.147933,6.31692,20.436466
27.0,28.0,7.923,car,car,28.93517,1.2576823,29.60627,26.564686,29.612137,27.016296,0.36876413,27.144852,26.35696,27.426273,0.3432191,0.25047457,0.3432191,0.16610684,0.5203314,0.2736063,0.20012502,0.20039451,0.05650047,0.6298358,12.242834,11.181855
27.0,31.0,8.174,car,car,23.801329,0.11056905,23.801329,23.723145,23.879513,23.527668,0.15703309,23.527668,23.41663,23.638708,1.8962511,0.057855487,1.8962511,1.8553411,1.9371611,1.8568659,0.08053234,1.8568659,1.7999209,1.9138108,11.942166,5.096883
27.0,32.0,9.477,car,car,25.56121,1.2136025,25.931894,23.337536,27.05822,25.69049,1.4017092,25.927818,22.2352,27.328985,1.1637328,0.5921991,0.97098696,0.44956505,2.2466033,0.9757503,0.69135433,0.85022414,0.17891721,2.7685254,18.5232,13.666108
28.0,31.0,8.424,car,car,29.718998,0.014480983,29.718998,29.708757,29.729237,27.094894,0.035555754,27.094894,27.069752,27.120035,,,,,,0.08252803,0.016416019,0.08252803,0.070920154,0.09413591,14.411501,5.4662347
28.0,32.0,11.834,car,car,25.69652,0.9541809,25.87413,23.331919,26.52341,26.853888,0.6937549,26.876465,25.444687,27.614082,0.84667206,0.5026697,0.7509125,0.4039559,2.0768535,0.79767054,0.41980967,0.7927916,0.31442627,1.607996,6.87725,23.617916
31.0,32.0,9.277,car,car,26.42836,0.24024647,26.42836,26.25848,26.59824,29.64527,0.027016746,29.648003,29.6116,29.673468,0.37918496,0.11946354,0.37918496,0.29471147,0.46365842,,,,,,3.9624097,12.232788
36.0,37.0,13.59,car,car,26.234245,0.59568554,26.336956,25.219927,26.862953,27.08724,2.1033728,26.7397,24.128042,29.499624,0.7395447,0.3202732,0.68722767,0.3964191,1.2780484,0.81878984,0.63309807,0.6613875,0.24702701,1.7053574,13.100724,10.027755
